"Date","Blacksburg","Charlottesville","Harrisonburg","Lynchburg","Richmond","Roanoke","Staunton-Waynesboro","VB-Norfolk","Washington-Alexandria","Winchester","VA"
"01/01/2005","169.44","193.54","163.86","151.33","173.51","157.84","160.74","194.97","227.52","211.02","198.519015429"
"04/01/2005","175.07","205.97","169.51","154.58","181.47","162.55","173.63","208.96","244.51","224.07","209.840549048"
"07/01/2005","179.57","213.38","180.19","159.73","189.66","167.41","179.56","220.2","257.66","238.4","219.784302596"
"10/01/2005","182.68","221.37","186.52","163.7","195.63","170.27","187.61","228.74","269.01","246.1","225.924970329"
"01/01/2006","181.07","225.61","191.28","166.83","201.4","174.38","195.62","236.22","274.1","252.61","231.157438464"
"04/01/2006","189.26","231.92","195.01","170.99","207.54","178.92","198.33","242.8","278.5","259.11","235.363021828"
"07/01/2006","194.77","235.65","200.85","176.7","210.54","182.52","203.21","246.62","279.87","253.83","236.869807524"
"10/01/2006","196.91","237.25","203.63","180.3","214.24","185.1","204.03","250.65","281.77","257.42","240.187832189"
"01/01/2007","194.77","240.16","203.28","183.64","216.64","188.25","208.9","252.27","279.53","252.39","241.101192012"
"04/01/2007","197.53","241.17","205.57","185.44","219.8","191.09","207.7","254.31","277.61","249.16","241.67913721"
"07/01/2007","197.45","240.56","203.02","185.2","218.6","189.56","207.13","253.69","271.65","241.26","238.784250993"
"10/01/2007","200.7","243.82","206.67","188.43","219.63","190.7","210.59","253.89","265.24","235.66","238.10826152"
"01/01/2008","201.95","241.4","206.1","188.72","219.45","193.82","209.06","252.97","257.86","236.01","236.905929099"
"04/01/2008","199.15","236.03","206.77","188.48","216.25","191.97","207.71","248.34","241.98","219.37","230.306001342"
"07/01/2008","200.79","231.79","199.6","185.58","212.72","189.98","205.99","244.81","229.71","206.21","224.000206409"
"10/01/2008","200.42","232.14","202.82","186.91","211.6","191.77","204.73","242.57","225.65","197.24","222.225089014"
"01/01/2009","202.59","231.09","202.41","188.05","210.52","193.65","205.65","241.86","225.71","201.5","223.122968161"
"04/01/2009","200.26","225.44","198.95","187.38","205.03","192.57","200.57","236.51","218.2","193.98","217.472521802"
"07/01/2009","195.11","221.87","194.3","183.32","199.46","188.44","196.91","231.13","213.39","187.66","212.451622891"
"10/01/2009","194.33","215.89","193.86","183.67","197.71","187.61","197.62","228.48","214.15","175.45","210.90871562"
"01/01/2010","189.52","216.93","188.84","180.36","194.47","184.19","191.03","225.78","211.94","174.67","208.034470303"
"04/01/2010","185.92","213.41","185.47","179.43","190.91","178.82","190.91","223.13","212.32","174.88","206.796016306"
"07/01/2010","191.59","217.48","186.82","180.55","191.58","183.14","190.73","225.38","214.84","174.58","208.896227876"
"10/01/2010","193.2","214.31","186.66","180.33","190.52","183.48","188.6","222.51","214.27","172.31","207.791939729"
"01/01/2011","190.11","211.4","179.9","176.61","184.18","178.6","184.31","216.11","209.83","170.52","202.967129367"
"04/01/2011","185.63","205.2","179.04","174.01","180.38","175.04","180.75","210.4","209.47","168.46","200.763713298"
"07/01/2011","185.33","205.96","182.21","174.11","179.32","174.99","182.16","209.53","212.23","170.89","202.378863718"
"10/01/2011","184.23","210.17","183.14","174.78","180.06","176.21","181.5","210.98","214.1","171.47","203.77728469"
"01/01/2012","183.96","207.69","179.31","174.59","178.34","172.73","177.67","207.44","212.9","167.43","201.589349296"
"04/01/2012","185.48","203.62","177.55","172.47","176.33","170.69","180.96","205.33","212.34","168.52","200.237370349"
"07/01/2012","181.65","204.52","178.53","175.42","178.3","173.41","180.67","207.6","215.53","167.7","202.822643067"
"10/01/2012","186.34","205.55","180.21","174.57","178.84","173.32","180.75","207.88","217.08","172.04","203.65343929"
"01/01/2013","185.41","205.83","178.7","173.01","178.29","172.39","181.44","206.95","218.89","173.54","203.45735074"
"04/01/2013","190.39","207.85","178.73","175.88","179.66","171.85","181.24","207.74","223.53","175.36","205.686567934"
"07/01/2013","188.7","207.19","180.54","174.85","181.62","172.77","180.64","206.64","227.37","181.53","206.094225708"
"10/01/2013","185.02","207.84","178.39","176.35","182.08","170.38","175.75","205.21","229.62","177.99","206.290314258"
"01/01/2014","185.44","208.36","181.55","175.74","182.87","171.52","178.36","207.97","231.48","183.55","207.38944218"
"04/01/2014","190.33","206.59","179.73","176.83","188.1","174.16","183.8","209.2","236.46","188.44","211.05320192"
"07/01/2014","186.79","217.13","184.63","172.82","187.86","175.06","187.63","211.51","238.25","189.93","212.162650292"
"10/01/2014","191.41","213.95","183.08","176.29","189.18","176.59","184.39","215.49","241.98","188","214.45895041"
"01/01/2015","189.28","215.08","185.73","177.69","190.19","178.35","184.11","215.25","242.23","193.38","214.959492234"
"04/01/2015","194","221.11","190.22","178.11","194.43","177.31","187.5","215.93","245.91","189.29","217.307394602"
"07/01/2015","189.81","220.21","187.65","180.19","195.13","177.19","185.52","216.08","249.22","193.08","218.3600805"
"10/01/2015","196.56","221.71","192.31","183.86","198.17","176.9","186.85","219.4","250.58","191.93","219.696578771"
"01/01/2016","199.61","224.05","190.41","181.65","197.51","177.44","183.04","215.68","252.07","195.73","219.908147995"
"04/01/2016","198.81","227.74","193.41","184.25","201.82","179.96","191.71","220.96","255.85","196.76","223.737034935"
"07/01/2016","198.21","224.7","191.39","183.78","205.49","183.13","193.65","223.69","258.12","200.43","225.393467155"
