"date","Nsa_value","Ssa_value"
"01/01/2005","2866","2911.1"
"02/01/2005","2878.3","2915.3"
"03/01/2005","2896.8","2916"
"04/01/2005","2919.2","2923"
"05/01/2005","2937.7","2927.2"
"06/01/2005","2956.3","2925"
"07/01/2005","2954.8","2940.7"
"08/01/2005","2948.1","2945.7"
"09/01/2005","2954.2","2951.2"
"10/01/2005","2954.3","2946.1"
"11/01/2005","2975.6","2959.3"
"12/01/2005","2986.8","2963.1"
"01/01/2006","2927.1","2971.4"
"02/01/2006","2938.1","2975.6"
"03/01/2006","2965.7","2985.1"
"04/01/2006","2972.8","2980.3"
"05/01/2006","2991.1","2981"
"06/01/2006","3015.7","2985.5"
"07/01/2006","2998.4","2983.8"
"08/01/2006","2991.1","2988.4"
"09/01/2006","2993","2991.2"
"10/01/2006","2999.9","2991.2"
"11/01/2006","3011.6","2993.9"
"12/01/2006","3025.9","3000.7"
"01/01/2007","2960.9","3005.4"
"02/01/2007","2967.1","3005.6"
"03/01/2007","2991.1","3011"
"04/01/2007","2997.2","3004.1"
"05/01/2007","3015.4","3004.3"
"06/01/2007","3032.6","3003.8"
"07/01/2007","3020.8","3004.6"
"08/01/2007","3010.2","3005.1"
"09/01/2007","3006.9","3007.5"
"10/01/2007","3024.8","3015.5"
"11/01/2007","3037.7","3019.3"
"12/01/2007","3048.1","3023.6"
"01/01/2008","2978.1","3024.1"
"02/01/2008","2987","3027"
"03/01/2008","3005.2","3026.1"
"04/01/2008","3024.1","3030.5"
"05/01/2008","3041.1","3029.3"
"06/01/2008","3048.7","3025.7"
"07/01/2008","3046.6","3028.1"
"08/01/2008","3034.8","3030.3"
"09/01/2008","3023.7","3024.9"
"10/01/2008","3026.4","3017"
"11/01/2008","3027.2","3009.1"
"12/01/2008","3025.4","3002.3"
"01/01/2009","2956.5","2999.7"
"02/01/2009","2954.2","2994.9"
"03/01/2009","2962.8","2983.7"
"04/01/2009","2963.5","2963.8"
"05/01/2009","2979.1","2965.5"
"06/01/2009","2990.1","2967"
"07/01/2009","2986.9","2965.5"
"08/01/2009","2967.3","2967.6"
"09/01/2009","2952.2","2954"
"10/01/2009","2973.7","2964.2"
"11/01/2009","2986.4","2968"
"12/01/2009","2988.7","2967"
"01/01/2010","2919.3","2962.6"
"02/01/2010","2895.9","2935.5"
"03/01/2010","2942.1","2962.2"
"04/01/2010","2979.2","2977.7"
"05/01/2010","3003.9","2990.1"
"06/01/2010","3017.1","2994"
"07/01/2010","3014.9","2993.1"
"08/01/2010","2982.1","2986"
"09/01/2010","2987","2987"
"10/01/2010","3008.3","2997.5"
"11/01/2010","3019.4","3000.5"
"12/01/2010","3025.1","3005.3"
"01/01/2011","2966.3","3012.7"
"02/01/2011","2975.5","3014.1"
"03/01/2011","2997.6","3016.3"
"04/01/2011","3023.7","3020.1"
"05/01/2011","3024.7","3012"
"06/01/2011","3042.7","3015.3"
"07/01/2011","3049.7","3031.2"
"08/01/2011","3023.6","3030"
"09/01/2011","3040.6","3039.1"
"10/01/2011","3046.7","3035.5"
"11/01/2011","3057","3037.3"
"12/01/2011","3061.4","3041.9"
"01/01/2012","2998.1","3044.1"
"02/01/2012","3012","3049.2"
"03/01/2012","3039.1","3057.4"
"04/01/2012","3054.3","3054.6"
"05/01/2012","3068.6","3055.8"
"06/01/2012","3085.7","3058.5"
"07/01/2012","3075.4","3060.7"
"08/01/2012","3063.7","3069.2"
"09/01/2012","3074.6","3073.4"
"10/01/2012","3095.8","3083.8"
"11/01/2012","3109.1","3086.6"
"12/01/2012","3107.6","3088.5"
"01/01/2013","3047.4","3093.2"
"02/01/2013","3060","3096.2"
"03/01/2013","3076","3095.5"
"04/01/2013","3091.6","3092.2"
"05/01/2013","3103.9","3090.6"
"06/01/2013","3109.1","3087.5"
"07/01/2013","3104.8","3092.7"
"08/01/2013","3089.6","3095.5"
"09/01/2013","3097.9","3095.1"
"10/01/2013","3102.3","3090.9"
"11/01/2013","3122.9","3099.3"
"12/01/2013","3115.3","3097"
"01/01/2014","3051.7","3093.8"
"02/01/2014","3058.6","3094.5"
"03/01/2014","3076.3","3097.7"
"04/01/2014","3103.6","3104.5"
"05/01/2014","3126.3","3110.1"
"06/01/2014","3137.5","3113.2"
"07/01/2014","3120.4","3109.8"
"08/01/2014","3107.5","3113.7"
"09/01/2014","3123.6","3121.1"
"10/01/2014","3138.3","3126.7"
"11/01/2014","3150.9","3128.7"
"12/01/2014","3149.5","3132.6"
"01/01/2015","3100.9","3143.3"
"02/01/2015","3111.7","3148.2"
"03/01/2015","3119.9","3143.2"
"04/01/2015","3160.6","3156.8"
"05/01/2015","3185.4","3166.1"
"06/01/2015","3195","3169"
"07/01/2015","3184.9","3172.8"
"08/01/2015","3168.8","3177.4"
"09/01/2015","3180.9","3178.7"
"10/01/2015","3206.6","3191.6"
"11/01/2015","3219.5","3195.2"
"12/01/2015","3222.2","3201.1"
"01/01/2016","3171.3","3210.8"
"02/01/2016","3179.6","3216.3"
"03/01/2016","3206.6","3226.6"
"04/01/2016","3231.7","3227.8"
"05/01/2016","3245.8","3230"
"06/01/2016","3274.9","3242.8"
"07/01/2016","3260.8","3246.5"
"08/01/2016","3243.1","3256.1"
"09/01/2016","3257.5","3264.4"
"10/01/2016","3279.2","3269.7"
"11/01/2016","3286.7","3261.6"
"12/01/2016","3288.8","3267.9"
